title,description,question,difficulty
"Три билборда на границе Эббинга, Миссури","Спустя несколько месяцев после убийства дочери Милдред Хейс преступники так и не найдены. Отчаявшаяся женщина решается на смелый шаг - арендует на въезде в город три билборда и оставляет на них послание главе полиции Уильяму Уиллоуби. Когда в ситуацию оказывается втянут ещё и заместитель шерифа Диксон, инфантильный маменькин сынок со склонностью к насилию, борьба между Милдред и властями города только усугубляется.","Помоги вспомнить фильм, где женщина использует билборды для борьбы с полицией после трагедии.?",3
Воин,"Боец Томми Конлон приезжает навестить отца, в прошлом алкоголика, которого не видел 14 лет. Семейное прошлое у Томми и его брата Брендана было не сильно радужное, но теперь Томми просит отца вновь, как и в детстве, стать его тренером, чтобы выиграть турнир MMA «Спарта» с призом в 5 миллионов долларов. В это же время Брендан, семьянин и отец троих детей, который работает учителем физики в школе, тщетно пытается справиться с финансовыми трудностями. Узнав, что банк через 3 месяца отберёт у них дом за долги, он возвращается к боям за деньги, из-за чего его в итоге отстраняют от работы. Заручившись поддержкой старого друга-тренера, он тоже решает участвовать в турнире, ещё не зная, что встретит там брата.","Помоги вспомнить фильм, где два брата участвуют в турнире MMA и сталкиваются друг с другом.?",3
Таксист,"В результате военного переворота в декабре 1979 года южнокорейским президентом становится Чон Ду-хван. После расстрела студенческой демонстрации в городе Кванджу местные жители решают массово выступить против режима. Диктатор бросает на подавление восстания военные части. 

В это время оказавшийся в Токио репортёр германской газеты решает проникнуть в Кванджу, чтобы донести до внешнего мира правду о том, что творится в Корее. Доставить немца в зону боевых действий и обратно должен простой сеульский таксист Ман-соп, который с утра даже не представлял, что скоро ему придется скрываться от военных патрулей.","О каком фильме идет речь: В результате военного переворота в декабре 1979 года южнокорейским президентом становится Чон Ду-хван. После расстрела студенческой демонстрации в городе Кванджу местные жители решают массово выступить против режима. Диктатор бросает на подавление восстания военные части. В это время оказавшийся в Токио репортёр германской газеты решает проникнуть в Кванджу, чтобы донести до внешнего мира правду о том, что творится в Корее. Доставить немца в зону боевых действий и обратно должен простой сеульский таксист Ман-соп, который с утра даже не представлял, что скоро ему придется скрываться от военных патрулей.?",5
Криминальное чтиво,"Двое бандитов Винсент Вега и Джулс Винфилд ведут философские беседы в перерывах между разборками и решением проблем с должниками криминального босса Марселласа Уоллеса.
В первой истории Винсент проводит незабываемый вечер с женой Марселласа Мией. Во второй Марселлас покупает боксёра Бутча Кулиджа, чтобы тот сдал бой. В третьей истории Винсент и Джулс по нелепой случайности попадают в неприятности.","Помоги вспомнить фильм, где бандиты ведут философские беседы между разборками.?",1
Суррогаты,"Действие разворачивается в будущем, в 2057 году, - когда люди практически перестанут общаться между собой и полностью возложат эту функцию на плечи роботов-заменителей. Они сильнее, моложе, привлекательнее своих обладателей и даже могут быть другого пола. Но находится террорист, начинающий уничтожать идеальных андроидов. Полицейскому Тому Гриру предстоит узнать, какие причины движут злоумышленником, лишающим жизни людей и их марионеток, технически и физически совершенных.","Помоги вспомнить фильм, где люди общаются через идеальных роботов-заменителей в будущем.?",4
Форрест Гамп,"Сидя на автобусной остановке, Форрест Гамп — не очень умный, но добрый и открытый парень — рассказывает случайным встречным историю своей необыкновенной жизни.

С самого малолетства парень страдал от заболевания ног, соседские мальчишки дразнили его, но в один прекрасный день Форрест открыл в себе невероятные способности к бегу. Подруга детства Дженни всегда его поддерживала и защищала, но вскоре дороги их разошлись.","Помоги вспомнить фильм, где главный герой начал бегать, несмотря на насмешки соседей.?",3
Апокалипсис,"1517 год. Полуостров Юкатан. В один день рушится мир индейца по имени Лапа Ягуара. Его деревню захватывает соседнее племя, уничтожая хижины, забирая местных жителей в плен. Его ведут в город, чтобы принести в жертву богам. Перед лицом неминуемой смерти Лапа Ягуара должен побороть свои самые сильные страхи и совершить отчаянный рывок, чтобы спасти то, что ему дорого.","Помоги вспомнить фильм, в котором индейца по имени Лапа Ягуара ведут в жертву богам.?",1
Фантастическая четверка,"Четыре космонавта в далёком космосе попали под действие неизвестных лучей и приобрели каждый свою суперспособность. После возвращения на Землю четверка встаёт на пути у врагов цивилизации, которые усиленно портят жизнь всего прогрессивного человечества.","Помоги вспомнить фильм, где группа космонавтов стала супергероями после встречи с загадочными лучами.?",4
Алеша Попович и Тугарин Змей,"Когда подступила к Ростову вражеская орда во главе с Тугариным Змеем, Алеша Попович не сумел уберечь жителей от выплаты дани. Теперь богатырь должен восстановить доброе имя, вернуть золото и прогнать неприятеля с земли русской. Он отправляется в путешествие, а помогут ему в этом дядька Тихон, девушка Любава, ее бабушка и говорящий конь Юлий.","Помоги вспомнить фильм, где главный герой пытается вернуть золото и прогнать врага с земли.?",1
Отель Мумбаи: Противостояние,"Мумбаи, 2008 год. Роскошный отель «Тадж-Махал Палас» — гарантия безопасности. К каждому гостю здесь относятся как к богу и требования к персоналу предъявляют самые высокие, но в тот день сотрудникам отеля пришлось особенно тяжело. Город подвергается многочисленным террористическим атакам, и когда вооруженные люди захватывают «Тадж-Махал», расстреливая всех встречных, оказавшимся в ловушке гостям и персоналу придётся пережить настоящий кошмар.","Помоги вспомнить фильм, где роскошный отель становится местом настоящего кошмара из-за террористической атаки.?",4
