task,instruction,input,output_json
sentiment,"Определи тональность отзыва: POSITIVE, NEGATIVE или NEUTRAL. Учитывай сарказм и смешанные эмоции. Верни строго JSON.",отличный iphone 14 PRO! купил в магазине apple на тверской. Камера супер,"{""label"": ""POSITIVE""}"
ner,"Извлеки именованные сущности из текста. Типы: PERSON, ORG, LOC. Ничего не выдумывай. Верни строго JSON.",отличный iphone 14 PRO!!!  купил в магазине  apple на тверской 😊. Камера супер,"{""entities"": [{""text"": ""iphone 14 PRO"", ""type"": ""ORG""}, {""text"": ""apple"", ""type"": ""ORG""}, {""text"": ""тверской"", ""type"": ""LOC""}]}"
sentiment+ner,Определи тональность (POSITIVE/NEGATIVE/NEUTRAL) и извлеки сущности PERSON/ORG/LOC. Верни строго JSON.,отличный iphone 14 PRO!!!  купил в магазине  apple на тверской 😊. Камера супер,"{""label"": ""POSITIVE"", ""entities"": [{""text"": ""iphone 14 PRO"", ""type"": ""ORG""}, {""text"": ""apple"", ""type"": ""ORG""}, {""text"": ""тверской"", ""type"": ""LOC""}]}"
sentiment,"Определи тональность отзыва: POSITIVE, NEGATIVE или NEUTRAL. Учитывай сарказм и смешанные эмоции. Верни строго JSON.",УЖАСНОЕ обслуживание в сбербанке на красной площади. менеджер иван петров вобще не помог(,"{""label"": ""NEGATIVE""}"
ner,"Извлеки именованные сущности из текста. Типы: PERSON, ORG, LOC. Ничего не выдумывай. Верни строго JSON.",УЖАСНОЕ обслуживание в сбербанке на красной площади.. менеджер иван петров вобще не помог(,"{""entities"": [{""text"": ""сбербанке"", ""type"": ""ORG""}, {""text"": ""красной площади"", ""type"": ""LOC""}, {""text"": ""иван петров"", ""type"": ""PERSON""}]}"
sentiment+ner,Определи тональность (POSITIVE/NEGATIVE/NEUTRAL) и извлеки сущности PERSON/ORG/LOC. Верни строго JSON.,УЖАСНОЕ обслуживание в сбербанке на красной площади.. менеджер иван петров вобще не помог(,"{""label"": ""NEGATIVE"", ""entities"": [{""text"": ""сбербанке"", ""type"": ""ORG""}, {""text"": ""красной площади"", ""type"": ""LOC""}, {""text"": ""иван петров"", ""type"": ""PERSON""}]}"
sentiment,"Определи тональность отзыва: POSITIVE, NEGATIVE или NEUTRAL. Учитывай сарказм и смешанные эмоции. Верни строго JSON.",Спасибо огромное сотрудникам МТС за то что 3 часа держали меня в очереди! Просто восхитительно,"{""label"": ""NEGATIVE""}"
ner,"Извлеки именованные сущности из текста. Типы: PERSON, ORG, LOC. Ничего не выдумывай. Верни строго JSON.",Спасибо огромное сотрудникам МТС за то что 3 часа держали меня в очереди! Просто восхитительно 👏,"{""entities"": [{""text"": ""МТС"", ""type"": ""ORG""}]}"
sentiment+ner,Определи тональность (POSITIVE/NEGATIVE/NEUTRAL) и извлеки сущности PERSON/ORG/LOC. Верни строго JSON.,Спасибо огромное сотрудникам МТС за то что 3 часа держали меня в очереди! Просто восхитительно 👏,"{""label"": ""NEGATIVE"", ""entities"": [{""text"": ""МТС"", ""type"": ""ORG""}]}"
sentiment,"Определи тональность отзыва: POSITIVE, NEGATIVE или NEUTRAL. Учитывай сарказм и смешанные эмоции. Верни строго JSON.","Какой замечательный сервис в Пятерочке - касса сломалась прямо передо мной, а персонал даже не извинился","{""label"": ""NEGATIVE""}"
ner,"Извлеки именованные сущности из текста. Типы: PERSON, ORG, LOC. Ничего не выдумывай. Верни строго JSON.","Какой замечательный сервис в Пятерочке - касса сломалась прямо передо мной, а персонал даже не извинился","{""entities"": [{""text"": ""Пятерочке"", ""type"": ""ORG""}]}"
sentiment+ner,Определи тональность (POSITIVE/NEGATIVE/NEUTRAL) и извлеки сущности PERSON/ORG/LOC. Верни строго JSON.,"Какой замечательный сервис в Пятерочке - касса сломалась прямо передо мной, а персонал даже не извинился","{""label"": ""NEGATIVE"", ""entities"": [{""text"": ""Пятерочке"", ""type"": ""ORG""}]}"
sentiment,"Определи тональность отзыва: POSITIVE, NEGATIVE или NEUTRAL. Учитывай сарказм и смешанные эмоции. Верни строго JSON.","iPhone 13 хороший телефон, но цена кусается. В целом доволен покупкой в re: Store","{""label"": ""NEUTRAL""}"
ner,"Извлеки именованные сущности из текста. Типы: PERSON, ORG, LOC. Ничего не выдумывай. Верни строго JSON.","iPhone 13 хороший телефон, но цена кусается. В целом доволен покупкой в re:Store","{""entities"": [{""text"": ""iPhone 13"", ""type"": ""ORG""}, {""text"": ""re:Store"", ""type"": ""ORG""}]}"
sentiment+ner,Определи тональность (POSITIVE/NEGATIVE/NEUTRAL) и извлеки сущности PERSON/ORG/LOC. Верни строго JSON.,"iPhone 13 хороший телефон, но цена кусается. В целом доволен покупкой в re:Store","{""label"": ""NEUTRAL"", ""entities"": [{""text"": ""iPhone 13"", ""type"": ""ORG""}, {""text"": ""re:Store"", ""type"": ""ORG""}]}"
sentiment,"Определи тональность отзыва: POSITIVE, NEGATIVE или NEUTRAL. Учитывай сарказм и смешанные эмоции. Верни строго JSON.","Ресторан Белуга красивый и атмосфера приятная, но официант Максим был невнимателен","{""label"": ""NEUTRAL""}"
ner,"Извлеки именованные сущности из текста. Типы: PERSON, ORG, LOC. Ничего не выдумывай. Верни строго JSON.","Ресторан Белуга красивый и атмосфера приятная, но официант Максим был невнимателен","{""entities"": [{""text"": ""Белуга"", ""type"": ""ORG""}, {""text"": ""Максим"", ""type"": ""PERSON""}]}"
sentiment+ner,Определи тональность (POSITIVE/NEGATIVE/NEUTRAL) и извлеки сущности PERSON/ORG/LOC. Верни строго JSON.,"Ресторан Белуга красивый и атмосфера приятная, но официант Максим был невнимателен","{""label"": ""NEUTRAL"", ""entities"": [{""text"": ""Белуга"", ""type"": ""ORG""}, {""text"": ""Максим"", ""type"": ""PERSON""}]}"
sentiment,"Определи тональность отзыва: POSITIVE, NEGATIVE или NEUTRAL. Учитывай сарказм и смешанные эмоции. Верни строго JSON.","Хотя Tesla Model Y и дорогая машина, и сервис в Рольф Премиум иногда подводит, но в целом я очень доволен покупкой","{""label"": ""POSITIVE""}"
ner,"Извлеки именованные сущности из текста. Типы: PERSON, ORG, LOC. Ничего не выдумывай. Верни строго JSON.","Хотя Tesla Model Y и дорогая машина, и сервис в Рольф Премиум иногда подводит, но в целом я очень доволен покупкой","{""entities"": [{""text"": ""Tesla Model Y"", ""type"": ""ORG""}, {""text"": ""Рольф Премиум"", ""type"": ""ORG""}]}"
sentiment+ner,Определи тональность (POSITIVE/NEGATIVE/NEUTRAL) и извлеки сущности PERSON/ORG/LOC. Верни строго JSON.,"Хотя Tesla Model Y и дорогая машина, и сервис в Рольф Премиум иногда подводит, но в целом я очень доволен покупкой","{""label"": ""POSITIVE"", ""entities"": [{""text"": ""Tesla Model Y"", ""type"": ""ORG""}, {""text"": ""Рольф Премиум"", ""type"": ""ORG""}]}"
sentiment,"Определи тональность отзыва: POSITIVE, NEGATIVE или NEUTRAL. Учитывай сарказм и смешанные эмоции. Верни строго JSON.","Не могу сказать что отель Ритц-Карлтон плохой, просто ожидал большего за такие деньги","{""label"": ""NEUTRAL""}"
ner,"Извлеки именованные сущности из текста. Типы: PERSON, ORG, LOC. Ничего не выдумывай. Верни строго JSON.","Не могу сказать что отель Ритц-Карлтон плохой, просто ожидал большего за такие деньги","{""entities"": [{""text"": ""Ритц-Карлтон"", ""type"": ""ORG""}]}"
sentiment+ner,Определи тональность (POSITIVE/NEGATIVE/NEUTRAL) и извлеки сущности PERSON/ORG/LOC. Верни строго JSON.,"Не могу сказать что отель Ритц-Карлтон плохой, просто ожидал большего за такие деньги","{""label"": ""NEUTRAL"", ""entities"": [{""text"": ""Ритц-Карлтон"", ""type"": ""ORG""}]}"
sentiment,"Определи тональность отзыва: POSITIVE, NEGATIVE или NEUTRAL. Учитывай сарказм и смешанные эмоции. Верни строго JSON.","Заказал доставку в Яндекс. Еде из ресторана Дача на Рублевке - привезли холодное, но курьер Андрей был вежливый","{""label"": ""NEUTRAL""}"
ner,"Извлеки именованные сущности из текста. Типы: PERSON, ORG, LOC. Ничего не выдумывай. Верни строго JSON.","Заказал доставку в Яндекс.Еде из ресторана Дача на Рублевке - привезли холодное, но курьер Андрей был вежливый","{""entities"": [{""text"": ""Яндекс.Еде"", ""type"": ""ORG""}, {""text"": ""Дача"", ""type"": ""ORG""}, {""text"": ""Рублевке"", ""type"": ""LOC""}, {""text"": ""Андрей"", ""type"": ""PERSON""}]}"
sentiment+ner,Определи тональность (POSITIVE/NEGATIVE/NEUTRAL) и извлеки сущности PERSON/ORG/LOC. Верни строго JSON.,"Заказал доставку в Яндекс.Еде из ресторана Дача на Рублевке - привезли холодное, но курьер Андрей был вежливый","{""label"": ""NEUTRAL"", ""entities"": [{""text"": ""Яндекс.Еде"", ""type"": ""ORG""}, {""text"": ""Дача"", ""type"": ""ORG""}, {""text"": ""Рублевке"", ""type"": ""LOC""}, {""text"": ""Андрей"", ""type"": ""PERSON""}]}"
sentiment,"Определи тональность отзыва: POSITIVE, NEGATIVE или NEUTRAL. Учитывай сарказм и смешанные эмоции. Верни строго JSON.","MacBook Pro 16 работает как часы уже год, покупал в iStore на Арбате у консультанта Елены","{""label"": ""POSITIVE""}"
ner,"Извлеки именованные сущности из текста. Типы: PERSON, ORG, LOC. Ничего не выдумывай. Верни строго JSON.","MacBook Pro 16 работает как часы уже год, покупал в iStore на Арбате у консультанта Елены","{""entities"": [{""text"": ""iStore"", ""type"": ""ORG""}, {""text"": ""Арбате"", ""type"": ""LOC""}, {""text"": ""Елены"", ""type"": ""PERSON""}]}"
sentiment+ner,Определи тональность (POSITIVE/NEGATIVE/NEUTRAL) и извлеки сущности PERSON/ORG/LOC. Верни строго JSON.,"MacBook Pro 16 работает как часы уже год, покупал в iStore на Арбате у консультанта Елены","{""label"": ""POSITIVE"", ""entities"": [{""text"": ""iStore"", ""type"": ""ORG""}, {""text"": ""Арбате"", ""type"": ""LOC""}, {""text"": ""Елены"", ""type"": ""PERSON""}]}"
sentiment,"Определи тональность отзыва: POSITIVE, NEGATIVE или NEUTRAL. Учитывай сарказм и смешанные эмоции. Верни строго JSON.","Сходил в кинотеатр Октябрь посмотреть новый фильм Marvel - ну такое себе, но попкорн вкусный был","{""label"": ""NEUTRAL""}"
